N-Threads, Performance
2,0.43
3,1.24
4,2.50
5,3.46
6,5.62
7,5.55
8,3.72
9,4.96
10,6.87
11,6.86
12,4.04
13,6.50
14,5.28
15,4.58
16,6.88
17,6.08
18,7.53
19,8.18
20,7.26
21,8.50
22,9.81
23,11.07
24,12.60
25,14.18
26,15.98
27,17.92
28,19.99
29,22.25
30,25.22
31,27.84
32,30.50
33,38.01
34,37.00
35,39.77
36,43.30
37,53.60
38,53.53
39,56.04
40,60.37
41,73.61
42,69.94
43,94.12
44,95.59
45,87.31
46,94.51
47,101.58
48,111.07
49,115.28
50,124.80
